Date,Investment,Transaction Type,Amount,Shares/Unit,Purchase Price,Shares,Type
9/4/2012,RMCVX,RECORDKEEPING FEE,-2.87,-0.357,8.039215686,0.357,sell
6/1/2012,RMCVX,RECORDKEEPING FEE,-2.87,-0.388,7.396907216,0.388,sell
3/1/2012,RMCVX,RECORDKEEPING FEE,-2.87,-0.352,8.153409091,0.352,sell
12/1/2011,RMCVX,RECORDKEEPING FEE,-2.87,-0.394,7.284263959,0.394,sell
9/1/2011,RMCVX,RECORDKEEPING FEE,-2.87,-0.401,7.157107232,0.401,sell
6/1/2011,RMCVX,RECORDKEEPING FEE,-2.87,-0.341,8.416422287,0.341,sell
3/1/2011,RMCVX,RECORDKEEPING FEE,-2.87,-0.355,8.084507042,0.355,sell
12/29/2010,RMCVX,RECORDKEEPING FEE,-5.74,-0.726,7.906336088,0.726,sell
6/30/2014,RMCVX,TRUSTEE FEE,-1.21,-0.107,11.30841121,0.107,sell
4/3/2014,RMCVX,TRUSTEE FEE,-1.2,-0.109,11.00917431,0.109,sell
12/26/2013,RMCVX,TRUSTEE FEE,-1.2,-0.114,10.52631579,0.114,sell
9/30/2013,RMCVX,TRUSTEE FEE,-1.22,-0.115,10.60869565,0.115,sell
7/12/2013,RMCVX,TRUSTEE FEE,-1.26,-0.12,10.5,0.12,sell
4/11/2013,RMCVX,TRUSTEE FEE,-1.27,-0.131,9.694656489,0.131,sell
1/3/2013,RMCVX,TRUSTEE FEE,-2.69,-0.308,8.733766234,0.308,sell
9/21/2012,RMCVX,TRUSTEE FEE,-2.92,-0.353,8.271954674,0.353,sell
6/21/2012,RMCVX,TRUSTEE FEE,-3.22,-0.425,7.576470588,0.425,sell
3/13/2012,RMCVX,TRUSTEE FEE,-3.34,-0.406,8.226600985,0.406,sell
12/19/2011,RMCVX,TRUSTEE FEE,-3.47,-0.502,6.912350598,0.502,sell
9/21/2011,RMCVX,TRUSTEE FEE,-3.18,-0.47,6.765957447,0.47,sell
6/13/2011,RMCVX,TRUSTEE FEE,-3.1,-0.387,8.010335917,0.387,sell
3/14/2011,RMCVX,TRUSTEE FEE,-3.04,-0.375,8.106666667,0.375,sell
12/29/2010,RMCVX,TRUSTEE FEE,-6.24,-0.788,7.918781726,0.788,sell
